epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1363.46,0.2242,0.37406,0.81665,0.99835,1,0.995,0.992,0.16184,0.34093,0.75158,0.00093575,0.00093575,0.00093575
45,1394.64,0.24481,0.36399,0.82901,0.99813,1,0.995,0.992,0.17437,0.33156,0.75743,0.000911,0.000911,0.000911
46,1441.18,0.26526,0.38158,0.83317,0.99812,1,0.995,0.98475,0.18799,0.32554,0.76363,0.00088625,0.00088625,0.00088625
47,1480.34,0.22189,0.36039,0.82209,0.9981,1,0.995,0.98145,0.19343,0.33274,0.76746,0.0008615,0.0008615,0.0008615
48,1533.21,0.22879,0.35486,0.81679,0.9981,1,0.995,0.98316,0.19816,0.32426,0.76998,0.00083675,0.00083675,0.00083675
49,1601.74,0.21777,0.35307,0.81815,0.99808,1,0.995,0.98632,0.22044,0.32281,0.77342,0.000812,0.000812,0.000812
50,1711.93,0.22405,0.34543,0.8285,0.99794,1,0.995,0.99066,0.22097,0.31975,0.77249,0.00078725,0.00078725,0.00078725
51,1829.65,0.24342,0.35742,0.8191,0.97583,1,0.995,0.9813,0.21278,0.42819,0.77098,0.0007625,0.0007625,0.0007625
52,1896.63,0.22312,0.33747,0.82807,0.94103,1,0.995,0.9888,0.22514,0.44002,0.76776,0.00073775,0.00073775,0.00073775
53,1948.28,0.21136,0.33052,0.82769,0.9827,1,0.995,0.98579,0.23537,0.45979,0.76517,0.000713,0.000713,0.000713
54,1980.09,0.22577,0.35607,0.82491,0.98296,1,0.995,0.97977,0.23175,0.46527,0.76342,0.00068825,0.00068825,0.00068825
55,2009.71,0.22348,0.32396,0.80849,0.91354,1,0.99227,0.98166,0.22182,0.45159,0.77197,0.0006635,0.0006635,0.0006635
56,2040.16,0.21449,0.33288,0.83313,0.91382,1,0.99045,0.98172,0.23621,0.40012,0.77949,0.00063875,0.00063875,0.00063875
57,2086.87,0.20964,0.32656,0.82121,0.96725,1,0.99136,0.96693,0.22896,0.37627,0.78003,0.000614,0.000614,0.000614
58,2140.25,0.201,0.3168,0.82729,0.96722,1,0.99045,0.9726,0.19352,0.34685,0.77339,0.00058925,0.00058925,0.00058925
59,2168.48,0.19701,0.3144,0.80278,0.96641,1,0.99227,0.99227,0.16486,0.32276,0.76277,0.0005645,0.0005645,0.0005645
60,2193.04,0.21935,0.31935,0.83156,0.96769,1,0.99318,0.96708,0.16009,0.32752,0.76075,0.00053975,0.00053975,0.00053975
61,2230.42,0.19245,0.31231,0.82035,0.96699,1,0.99318,0.97855,0.16167,0.32412,0.76099,0.000515,0.000515,0.000515
62,2272.22,0.18912,0.298,0.81046,0.99732,1,0.995,0.983,0.16307,0.3241,0.75881,0.00049025,0.00049025,0.00049025
63,2303.98,0.18653,0.28681,0.82991,0.99731,1,0.995,0.983,0.15504,0.32926,0.75794,0.0004655,0.0004655,0.0004655
64,2330.67,0.18446,0.29301,0.82507,0.99699,1,0.995,0.977,0.1478,0.32862,0.75759,0.00044075,0.00044075,0.00044075
65,2358.57,0.18188,0.30016,0.80362,0.99791,1,0.995,0.971,0.14299,0.33399,0.75716,0.000416,0.000416,0.000416
66,2386.32,0.18705,0.29644,0.82625,0.99678,1,0.995,0.98503,0.14484,0.33392,0.75268,0.00039125,0.00039125,0.00039125
67,2417.61,0.18453,0.28275,0.82422,0.99804,1,0.995,0.977,0.16172,0.37337,0.76281,0.0003665,0.0003665,0.0003665
68,2465.76,0.18814,0.29443,0.82649,0.99475,1,0.995,0.98863,0.16543,0.39272,0.76158,0.00034175,0.00034175,0.00034175
69,2492.69,0.16901,0.28112,0.80394,0.99312,1,0.995,0.989,0.17616,0.35596,0.76547,0.000317,0.000317,0.000317
70,2524.61,0.18081,0.2882,0.83234,0.98852,1,0.995,0.989,0.17768,0.34531,0.76554,0.00029225,0.00029225,0.00029225
71,2552.6,0.1609,0.3766,0.78428,0.93965,1,0.99147,0.98582,0.17706,0.36359,0.76414,0.0002675,0.0002675,0.0002675
72,2579.97,0.14949,0.33553,0.77726,0.9406,1,0.995,0.98507,0.17191,0.36515,0.75641,0.00024275,0.00024275,0.00024275
73,2605.23,0.14471,0.32512,0.77138,0.94014,1,0.995,0.989,0.16967,0.35913,0.75447,0.000218,0.000218,0.000218
74,2647.53,0.1515,0.323,0.76733,0.99272,1,0.995,0.989,0.1718,0.33338,0.75243,0.00019325,0.00019325,0.00019325
75,2744.1,0.14882,0.32754,0.80067,0.99819,1,0.995,0.98422,0.16472,0.30173,0.75333,0.0001685,0.0001685,0.0001685
76,2781.62,0.14965,0.33264,0.79074,0.99822,1,0.995,0.98763,0.17017,0.30438,0.75397,0.00014375,0.00014375,0.00014375
77,2825.36,0.14266,0.33018,0.78556,0.99821,1,0.995,0.98725,0.17677,0.30618,0.75547,0.000119,0.000119,0.000119
78,2862,0.16721,0.32806,0.78389,0.99814,1,0.995,0.98725,0.18011,0.29929,0.75707,9.425e-05,9.425e-05,9.425e-05
79,2913.02,0.14121,0.31247,0.79893,0.99812,1,0.995,0.98725,0.18487,0.30044,0.75918,6.95e-05,6.95e-05,6.95e-05
80,2972.93,0.1301,0.29732,0.79589,0.99814,1,0.995,0.98725,0.18569,0.30235,0.75992,4.475e-05,4.475e-05,4.475e-05
